,date,ticker,name,action,cik
369,1998-12-11,FSR,Firstar,added,
370,1998-12-11,GRN,General Re,removed,
371,1998-12-11,SUN,SunAmerica,removed,
135,1998-11-18,DHR,Danaher Corporation,added,0000313616
7,1998-10-02,AES,AES Corporation,added,0000874761
364,1998-10-01,PAYX,Paychex,added,0000723531
484,1998-08-31,WM,Waste Management,added,0000823768
396,1998-08-28,RF,Regions Financial Corporation,added,0001281761
83,1998-07-01,COF,Capital One,added,0000927628
326,1998-07-01,MCO,Moody's Corporation,added,0001059556
300,1998-05-29,MAR,Marriott International,added,0001048286
204,1998-04-30,BEN,Franklin Resources,added,0000038777
342,1998-01-30,NTRS,Northern Trust,added,0000073124
353,1997-12-31,OMC,Omnicom Group,added,0000029989
104,1997-12-18,CINF,Cincinnati Financial,added,0000020286
453,1997-12-04,TFC,Truist Financial,added,0000092230
197,1997-11-28,FE,FirstEnergy,added,0001031296
499,1997-10-06,YUM,Yum! Brands,added,0001041061
277,1997-09-30,KLAC,KLA Corporation,added,0000319201
240,1997-08-28,HBAN,Huntington Bancshares,added,0000049196
380,1997-08-04,PGR,Progressive Corporation,added,0000080661
36,1997-07-28,APA,APA Corporation,added,0001841666
173,1997-06-19,EFX,Equifax,added,0000033185
372,1997-06-17,CCI,Countrywide Credit Industries,added,
372,1997-06-17,USL,USLife,removed,
97,1997-06-02,SCHW,Charles Schwab Corporation,added,0000316709
84,1997-05-27,CAH,Cardinal Health,added,0000721371
5,1997-05-05,ADBE,Adobe Inc.,added,0000796343
50,1997-01-02,AZO,AutoZone,added,0000866787
35,1996-04-23,AON,Aon plc,added,0000315293
195,1996-03-29,FITB,Fifth Third Bancorp,added,0000035527
18,1995-07-13,ALL,Allstate,added,0000899051
136,1995-05-31,DRI,Darden Restaurants,added,0000940944
293,1995-05-31,L,Loews Corporation,added,0000060086
66,1995-03-31,BK,BNY Mellon,added,0001390777
39,1995-03-16,AMAT,Applied Materials,added,0000006951
124,1995-02-27,GLW,Corning Inc.,added,0000024741
69,1995-02-24,BSX,Boston Scientific,added,0000885725
373,1994-09-30,MCK,McKesson,removed,
373,1994-09-30,NCC,National City,added,
362,1994-09-30,PSKY,Paramount Skydance Corporation,added,0002041610
316,1994-09-27,MU,Micron Technology,added,0000723125
420,1994-07-01,LUV,Southwest Airlines,added,0000092380
464,1994-07-01,UNH,UnitedHealth Group,added,0000731766
317,1994-06-01,MSFT,Microsoft,added,0000789019
271,1994-03-01,KEY,KeyCorp,added,0000091576
159,1994-01-01,EMN,Eastman Chemical Company,added,0000915389
106,1993-12-01,CSCO,Cisco,added,0000858877
128,1993-10-01,COST,Costco,added,0000909832
327,1993-07-29,MS,Morgan Stanley,added,0000895421
254,1992-10-01,IPG,Interpublic Group of Companies (The),added,0000051644
289,1992-07-01,LIN,Linde plc,added,0001707925
32,1992-01-02,AMGN,Amgen,added,0000318154
24,1991-09-19,AEE,Ameren,added,0001002910
48,1989-12-01,ADSK,Autodesk,added,0000769397
268,1989-09-11,K,Kellanova,added,0000055067
356,1989-08-31,ORCL,Oracle Corporation,added,0001341439
219,1989-04-30,GL,Globe Life,added,0000320335
162,1989-01-31,ECL,Ecolab,added,0000031462
338,1988-11-30,NKE,"Nike, Inc.",added,0000320187
107,1988-05-31,C,Citigroup,added,0000831001
374,1988-04-30,PNC,PNC Financial Services,added,0000713676
232,1988-03-31,HD,Home Depot (The),added,0000354950
52,1987-12-31,AVY,Avery Dennison,added,0000008818
